,all_prices,avg_rating,ios_prices,list_price,name,num_voters,page_no,rank,rating,year
1568,"

Lowest Amazon: $54.14


New Amazon: $195.73

","
			5.59		",,"
",Sid Meier's Civilization: The Boardgame,"
			2539		",152,15174,"
			5.482		",-2002
1569,,"
			4.86		","
Virus & Co
(2002)
","]
					",FATAL,"
			38		",152,15177,"
			5.482		",-2007
1570,"

Lowest Amazon: $32.00


New Amazon: $72.00

","
			5.39		",,"
",Ninjago: The Board Game,"
			139		",152,15186,"
			5.482		",-2011
1571,"

			List: $29.99
		

Lowest Amazon: $10.00


New Amazon: $33.99

","
			5.44		","
New Amazon: $33.99
","
			List: $29.99
		",Trivial Pursuit: Volume 6,"
			237		",152,15187,"
			5.482		",-2003
1572,,"
			5.47		","
Orangino
(2004)
","]
					",Startup Fever,"
			89		",152,15198,"
			5.482		",-2012
1573,"

			List: $11.99
		

New Amazon: $49.10




","
			5.36		", ,"
			List: $11.99
		",Husker Du?,"
			86		",153,15203,"
			5.482		",-1970
1574,,"
			5.56		","
Killer Bunnies and the Journey to Jupiter
(2008)
","]
					",Uskoci: A Card Game of Croatian Pirates,"
			88		",153,15212,"
			5.481		",-2010
1575,"

Lowest Amazon: $19.24


New Amazon: $37.38




","
			5.65		",,"
",Killer Bunnies and the Journey to Jupiter,"
			313		",153,15214,"
			5.481		",-2008
1576,,"
			5.18		","
7 Safari
(2000)
","]
					",Win/Lose Revolution,"
			72		",153,15215,"
			5.481		",-2015
1577,,"
			4.59		","
The 7th Dwarf
(2014)
","]
					",Star Wars: Hoth Ice Planet Adventure Game,"
			30		",153,15219,"
			5.481		",-1980
1578,"

			List: $54.99
		

New Amazon: $49.95

","
			5.03		",,"
			List: $54.99
		",Saqqara,"
			50		",153,15222,"
			5.481		",-2012
1579,,"
			5.22		","
Marvel Trivia Game
(2003)
","]
					",Surviving: One month in,"
			48		",153,15224,"
			5.481		",-2015
1580,"

Lowest Amazon: $13.73


New Amazon: $24.44




","
			5.44		",,"
",The Big Bang Theory: The Party Game,"
			179		",153,15239,"
			5.481		",-2012
1581,"

			List: $24.95
		

Lowest Amazon: $10.70


New Amazon: $16.49




","
			5.12		","
New Amazon: $16.49



","
			List: $24.95
		",Recess!,"
			99		",153,15253,"
			5.481		",-2006
1582,,"
			5.47		","
Camper Tour
(2007)
","]
					",Machine of Death: The Game of Creative Assassination,"
			450		",153,15254,"
			5.481		",-2013
1583,,"
			5.34		","
Uno Tippo
(2009)
","]
					",Lara Croft: Tomb Raider – The Angel of Darkness,"
			162		",153,15275,"
			5.480		",-2003
1584,"

Lowest Amazon: $19.00


New Amazon: $19.98




","
			4.81		",,"
",Project Mars,"
			33		",153,15287,"
			5.480		",-2016
1585,,"
			5.42		","
Beim Zeus!
(1997)
","]
					",King's Vineyard,"
			167		",153,15294,"
			5.480		",-2010
1586,,"
			4.97		","
Monopoly: Star Trek Limited Edition
(2000)
","]
					",Azuchi Castle,"
			47		",153,15298,"
			5.480		",-2016
1587,"
","
			4.98		",,"
														
													[",Angry Birds: Star Wars – Jenga Death Star Game,"
			66		",154,15311,"
			5.480		",-2012
1588,"

			List: $30.00
		

New Amazon: $29.99




","
			5.59		",,"
			List: $30.00
		",Bears vs Babies,"
			1896		",154,15316,"
			5.479		",-2017
1589,,"
			5.26		","
Quest Cards
(2005)
","]
					",Shoot Out,"
			124		",154,15330,"
			5.479		",-2002
1590,"
","
			5.43		",,"
														
													[",Terra Evolution,"
			247		",154,15337,"
			5.479		",-2011
1591,"

Lowest Amazon: $4.50


New Amazon: $9.95




","
			5.16		",,"
","The Walking Dead ""Don't Look Back"" Dice Game","
			95		",154,15347,"
			5.479		",-2014
1592,,"
			5.06		","

			List: $25.00
		

Lowest Amazon: $20.00


New Amazon: $23.99




","]
					",Rooster Rush,"
			47		",154,15351,"
			5.479		",-2016
1593,"

			List: $25.00
		

Lowest Amazon: $20.00


New Amazon: $23.99




","
			5.37		","
New Amazon: $23.99



","
			List: $25.00
		",Sanitarium,"
			158		",154,15352,"
			5.479		",-2012
1594,,"
			5.44		","
Fredericus
(2005)
","]
					",Fossil,"
			646		",154,15355,"
			5.479		",-1998
1595,"

			List: $14.99
		

Lowest Amazon: $17.99


New Amazon: $19.99

","
			5.23		","
New Amazon: $19.99
","
			List: $14.99
		",CUPONK,"
			91		",154,15363,"
			5.479		",-2010
1596,"

			List: $29.99
		

Lowest Amazon: $113.00


New Amazon: $173.97




","
			5.09		","
New Amazon: $173.97



","
			List: $29.99
		",Barbie Queen of the Prom Game,"
			40		",154,15375,"
			5.478		",-1960
1597,"

			List: $35.00
		

New Amazon: $17.99




","
			5.22		",,"
			List: $35.00
		",Killer Bunnies and the Ultimate Odyssey,"
			92		",154,15377,"
			5.478		",-2010
1598,"

			List: $22.99
		

Lowest Amazon: $8.00


New Amazon: $14.00




","
			5.41		","
New Amazon: $14.00



","
			List: $22.99
		",High School Drama!,"
			169		",154,15379,"
			5.478		",-2006
1599,"

New Amazon: $14.99

","
			5.41		","
Snail Race
(2000)
","
",Difference,"
			196		",154,15384,"
			5.478		",-2009
1600,,"
			5.00		","
","]
					",Ali Baba,"
			56		",154,15399,"
			5.478		",-1993
1601,,"
			5.19		","
Galapagos
(2010)
","]
					",Back to Iraq,"
			73		",155,15401,"
			5.478		",-1993
1602,"

Used Amazon: $19.94

","
			5.51		","
Cranium Dark
(2016)
","
",Waterworks,"
			1724		",155,15411,"
			5.478		",-1972
1603,,"
			4.89		","
Machu Picchu
(1998)
","]
					",Star Wars: Death Star Assault Game,"
			56		",155,15420,"
			5.477		",-1995
1604,,"
			5.25		",,"]
					",I Will Survive,"
			106		",155,15424,"
			5.477		",-2011
1605,,"
			5.07		","

Used Amazon: $8.00

","]
					",Fight Klub,"
			43		",155,15425,"
			5.477		",-2008
1606,"

Used Amazon: $8.00

","
			5.45		","
Habana Taxi
(2004)
","
",MiniMonFa (MiniMonsterFantasy),"
			200		",155,15426,"
			5.477		",-2005
1607,"

Lowest Amazon: $12.95


New Amazon: $201.90




","
			5.50		",,"
",The Inventors,"
			301		",155,15431,"
			5.477		",-1974
1608,"

Lowest Amazon: $17.99


New Amazon: $87.99




","
			4.69		",,"
",Skip-Bo Dice,"
			35		",155,15438,"
			5.477		",-1995
1609,,"
			5.60		","
Dragon
(2006)
","]
					",Eragra: The Game of Eras and the First Step,"
			38		",155,15440,"
			5.477		",-2011
1610,,"
			4.73		","
Yum
(1959)
","]
					",Rising Kings,"
			31		",155,15444,"
			5.477		",-2010
1611,"

			List: $39.99
		

Lowest Amazon: $48.98


New Amazon: $105.53




","
			5.49		","
New Amazon: $105.53



","
			List: $39.99
		",Scene It? Disney,"
			394		",155,15450,"
			5.477		",-2004
1612,"

			List: $59.99
		

Lowest Amazon: $7.50


New Amazon: $30.33

","
			5.53		","
New Amazon: $30.33
","
			List: $59.99
		",Trivial Pursuit: Genus IV,"
			935		",155,15453,"
			5.477		",-1996
1613,"

			List: $14.99
		

Lowest Amazon: $4.00


New Amazon: $6.85




","
			5.39		","
New Amazon: $6.85



","
			List: $14.99
		",The Impossible Machine,"
			281		",155,15461,"
			5.477		",-2011
1614,"

			List: $34.99
		

Lowest Amazon: $14.99


New Amazon: $15.00




","
			5.06		","
New Amazon: $15.00



","
			List: $34.99
		",Hirelings: The Ascent,"
			56		",155,15463,"
			5.476		",-2012
1615,"

			List: $6.99
		

New Amazon: $4.99

","
			5.37		",,"
			List: $6.99
		",FLY,"
			241		",155,15465,"
			5.476		",-2015
1616,,"
			5.01		","
StrataGem
(2004)
","]
					",Skyscrapers,"
			61		",155,15469,"
			5.476		",-2010
1617,"

			List: $29.99
		

Lowest Amazon: $10.50


New Amazon: $29.99




","
			5.25		","
New Amazon: $29.99



","
			List: $29.99
		",The Hunger Games: Training Days,"
			119		",155,15473,"
			5.476		",-2010
1618,,"
			4.89		","
Tri-Trac
(1980)
","]
					",Dimension Demons,"
			48		",155,15477,"
			5.476		",-1981
