,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
5826,Mage Tower: A Tower Defense Card Game,5.64,6.64,2013.00,5319.00,54.00,172.00,,Uluru: Neuer Tumult am Ayers Rock(2013),New Amazon: $69.99
5827,Immortals,5.64,6.57,2017.00,5321.00,54.00,213.00,,011(2011),New Amazon: $36.09
5828,11,5.64,6.16,2011.00,5322.00,54.00,391.00,,List: $39.95New Amazon: $37.99,
5829,Paramedics: Clear!,5.64,7.02,2017.00,5323.00,54.00,132.00,39.95,,List: $39.95New Amazon: $37.99
5830,NHL Ice Breaker: The Card Hockey Board Game,5.64,6.30,2006.00,5326.00,54.00,280.00,,List: $16.98Lowest Amazon: $23.00New Amazon: $49.99,
5831,Cityscape,5.64,6.22,2002.00,5327.00,54.00,302.00,16.98,New Amazon: $49.99,List: $16.98Lowest Amazon: $23.00New Amazon: $49.99
5832,König Salomons Schatzkammer,5.64,6.59,2005.00,5328.00,54.00,175.00,,New Amazon: $59.99,
5833,Speakeasy Blues,5.64,7.37,2018.00,5329.00,54.00,105.00,,The World Cup Card Game 2010(2010),New Amazon: $59.99
5834,The World Cup Card Game 2010,5.64,6.34,2010.00,5330.00,54.00,250.00,,Panzer Grenadier: 1940 – The Fall of France(2009),
5835,RONE (First edition),5.64,7.96,2016.00,5333.00,54.00,129.00,,Lowest Amazon: $23.40New Amazon: $23.54,
5836,Barker's Row,5.64,6.69,2018.00,5334.00,54.00,183.00,,,Lowest Amazon: $23.40New Amazon: $23.54
5837,Prussia's Defiant Stand,5.64,6.86,2007.00,5337.00,54.00,136.00,,Trains and Stations(2013),
5838,Trains and Stations,5.64,5.86,2013.00,5339.00,54.00,805.00,,,Lowest Amazon: $18.35New Amazon: $19.48
5839,Cerebria: The Card Game,5.64,6.83,2018.00,5340.00,54.00,165.00,,,Lowest Amazon: $64.99New Amazon: $66.44
5840,Karnag,5.64,6.67,2012.00,5342.00,54.00,174.00,,,Lowest Amazon: $40.00New Amazon: $65.00
5841,Ogre Miniatures,5.64,7.71,1992.00,5344.00,54.00,130.00,,List: $17.99New Amazon: $13.95,
5842,Continental Express,5.64,6.05,2014.00,5345.00,54.00,506.00,17.99,,List: $17.99New Amazon: $13.95
5843,Pirates of Nassau,5.64,7.03,2012.00,5346.00,54.00,132.00,,Monster Trap(2011),
5844,Monster Trap,5.64,6.28,2011.00,5348.00,54.00,252.00,,List: $9.99Lowest Amazon: $3.92New Amazon: $15.59,
5845,Thingamajig,5.64,6.38,2003.00,5349.00,54.00,219.00,9.99,New Amazon: $15.59,List: $9.99Lowest Amazon: $3.92New Amazon: $15.59
5846,Red Storm over the Reich,5.64,7.28,2007.00,5350.00,54.00,103.00,,List: $39.99Lowest Amazon: $24.95New Amazon: $35.53,
5847,Woodlands,5.64,6.89,2018.00,5351.00,54.00,145.00,39.99,New Amazon: $35.53,List: $39.99Lowest Amazon: $24.95New Amazon: $35.53
5848,Typhoon!,5.64,7.38,1995.00,5352.00,54.00,113.00,,,
5849,Kalimambo,5.64,6.14,2011.00,5353.00,54.00,339.00,,,
5850,Dark Empire: Revolution,5.64,6.65,2013.00,5354.00,54.00,181.00,,,
5851,Master of Economy,5.64,6.74,2010.00,5355.00,54.00,158.00,,,
5852,Tigers in the Mist,5.64,6.82,1999.00,5356.00,54.00,156.00,,,
5853,Bad Medicine,5.64,6.83,2015.00,5357.00,54.00,159.00,,,
5854,Hoyuk,5.64,6.21,2006.00,5358.00,54.00,370.00,,,
